,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,pp1,pp2,pp3,pp4,bin,rand,action, shares , value ,,bin,buy,hold,sell,,
26,4/20/2021 22:30,56696.03,56591.25,56837.83,56413.358,0,reg,FALSE,BTCUSD,hold,-0.073224175,0.285296264,0.214586386,0.174374528,53,0.896263515,sell, -   , $99.33 ,,27,71%,29%,0%,,
27,4/20/2021 22:35,56591.25,56614.655,56832.83169,56409.53395,0,reg,FALSE,BTCUSD,buy,-0.53323862,-0.26496832,-0.316952401,-0.306166342,1,0.265569403,buy, 0.00176 , $-   ,,28,27%,44%,29%,,
28,4/20/2021 22:40,56751.915,56530.3,56798.995,56335.55612,0,reg,FALSE,BTCUSD,sell,0.815329667,0.776775332,0.600044343,0.528190124,81,0.1066332,hold, 0.00176 , $-   ,,29,23%,40%,37%,,
29,4/20/2021 22:45,56665.3,56309.72,56700.205,56148.65,0,reg,FALSE,BTCUSD,hold,-0.440218617,-0.723195812,-0.86398338,-0.843279969,1,0.137772131,buy, 0.00176 , $-   ,,30,33%,33%,33%,,
30,4/20/2021 22:50,56309.72,56387.88,56564.57,56069.735,0,reg,FALSE,BTCUSD,buy,-1.818638769,-0.793970007,-0.040765936,0.474173247,6,0.068429686,buy, 0.00176 , $-   ,,31,,,,,
31,4/20/2021 22:55,56387.88,56456.97,56676.88674,56234.1,0,reg,FALSE,BTCUSD,hold,0.39920068,1.277475524,1.193152627,0.710737093,81,0.487386424,sell, -   , $98.98 ,,32,40%,40%,20%,,
32,4/20/2021 23:00,56456.97,56426.3,56800.66,56303.84402,0,reg,FALSE,BTCUSD,sell,0.352443994,-0.026931851,-0.751338647,-1.120026972,64,0.498513649,sell, -   , $98.98 ,,33,26%,53%,21%,,
33,4/20/2021 23:05,56426.3,56293.485,56771.17,56274.065,0,reg,FALSE,BTCUSD,buy,-0.15653977,-0.293174648,-0.153355851,0.344438091,33,0.684442507,hold, -   , $98.98 ,,34,,,,,
34,4/20/2021 23:10,56438.13,56315.975,56677.675,56175.385,0,reg,FALSE,BTCUSD,sell,0.060367698,0.124938701,0.240833289,0.227052944,45,0.505501418,hold, -   , $98.98 ,,35,,,,,
35,4/20/2021 23:15,56315.975,56554.08,56692.98,56113.05374,0,reg,FALSE,BTCUSD,buy,-0.624700896,-0.394599511,-0.29925401,-0.311090285,1,0.021019719,buy, 0.00176 , $-   ,,36,60%,30%,10%,,
36,4/20/2021 23:20,56554.08,56535.525,56704.985,56222.65858,0,reg,FALSE,BTCUSD,hold,1.212542757,1.058252345,0.836842669,0.654391688,81,0.201677494,hold, 0.00176 , $-   ,,37,19%,55%,26%,,
37,4/20/2021 23:25,56658.19,56596.875,56781.94,56390.93889,0,reg,FALSE,BTCUSD,sell,0.529202927,-0.393603742,-0.836269105,-0.963712381,55,0.861004334,sell, -   , $99.58 ,,38,0%,60%,40%,,
38,4/20/2021 23:30,56472.6,56518.645,56822.125,56377.85,0,reg,FALSE,BTCUSD,buy,-0.946475283,-0.849990649,-0.262878859,0.330272782,3,0.901624985,hold, -   , $99.58 ,,39,,,,,
39,4/20/2021 23:35,56518.645,56471.02,56740.21,56316.99,0,reg,FALSE,BTCUSD,hold,0.234629829,0.680316543,0.881456942,0.659137421,81,0.07098375,hold, -   , $99.58 ,,40,30%,41%,30%,,
40,4/20/2021 23:40,56592.755,56492.44,56749.17,56312.59501,0,reg,FALSE,BTCUSD,sell,0.377145096,0.082088794,-0.344579184,-0.706196809,64,0.453890889,sell, -   , $99.58 ,,41,27%,50%,23%,,
41,4/20/2021 23:45,56367.705,56258.665,56692.66,56226.305,0,reg,FALSE,BTCUSD,hold,-1.149849899,-0.879549116,-0.553903436,-0.120570769,2,0.161277567,buy, 0.00177 , $-   ,,42,21%,46%,33%,,
42,4/20/2021 23:50,56258.665,56426.895,56591.3,56146.455,0,reg,FALSE,BTCUSD,buy,-0.558198813,0.340791026,0.702915923,0.723927951,27,0.361427895,buy, 0.00177 , $-   ,,43,100%,0%,0%,,
43,4/20/2021 23:55,56426.895,56505.65,56707.725,56272.79,0,reg,FALSE,BTCUSD,sell,0.858637356,0.816097633,0.273776605,-0.247184247,79,0.232229814,hold, 0.00177 , $-   ,,44,29%,57%,14%,,
