,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,shares, value ,action,shares, value ,action,shares, value ,action,shares, value 
975,2021-04-16T07:45:00Z,0.252358,0.248157,0.254177,0.245798,0,reg,FALSE,DOGEUSD,sell,0," $73,479.48 ",sell,0, $116.46 ,sell,0, $141.39 ,hold,1393.301009, $-   
976,2021-04-16T07:50:00Z,0.248157,0.245619,0.249765,0.244072,0,reg,FALSE,DOGEUSD,hold,0," $73,479.48 ",hold,0, $116.46 ,hold,0, $141.39 ,buy,1393.301009, $-   
977,2021-04-16T07:55:00Z,0.244587,0.246603,0.249769,0.242903,0,reg,FALSE,DOGEUSD,buy,300422.6723, $-   ,hold,0, $116.46 ,buy,578.0951233, $-   ,buy,1393.301009, $-   
978,2021-04-16T08:00:00Z,0.246658,0.243484,0.247807,0.239525,0,reg,FALSE,DOGEUSD,sell,0," $74,101.66 ",hold,0, $116.46 ,hold,578.0951233, $-   ,hold,1393.301009, $-   
979,2021-04-16T08:05:00Z,0.243484,0.246026,0.247216,0.240374,0,reg,FALSE,DOGEUSD,buy,304338.9114, $-   ,hold,0, $116.46 ,hold,578.0951233, $-   ,buy,1393.301009, $-   
980,2021-04-16T08:10:00Z,0.246026,0.245607,0.250763,0.243627,0,reg,FALSE,DOGEUSD,sell,0," $74,875.29 ",hold,0, $116.46 ,hold,578.0951233, $-   ,hold,1393.301009, $-   
981,2021-04-16T08:15:00Z,0.245607,0.25331,0.255641,0.24308,0,reg,FALSE,DOGEUSD,buy,304858.1067, $-   ,hold,0, $116.46 ,hold,578.0951233, $-   ,buy,1393.301009, $-   
982,2021-04-16T08:20:00Z,0.25331,0.253958,0.259862,0.251364,0,reg,FALSE,DOGEUSD,sell,0," $77,223.61 ",hold,0, $116.46 ,hold,578.0951233, $-   ,hold,1393.301009, $-   
983,2021-04-16T08:25:00Z,0.252853,0.252385,0.257396,0.249596,0,reg,FALSE,DOGEUSD,hold,0," $77,223.61 ",hold,0, $116.46 ,hold,578.0951233, $-   ,buy,1393.301009, $-   
984,2021-04-16T08:30:00Z,0.252385,0.256735,0.258422,0.250413,0,reg,FALSE,DOGEUSD,buy,305975.4225, $-   ,hold,0, $116.46 ,buy,578.0951233, $-   ,buy,1393.301009, $-   
985,2021-04-16T08:35:00Z,0.256735,0.265068,0.266564,0.25289,0,reg,FALSE,DOGEUSD,hold,305975.4225, $-   ,hold,0, $116.46 ,hold,578.0951233, $-   ,hold,1393.301009, $-   
986,2021-04-16T08:40:00Z,0.265068,0.261256,0.266715,0.257039,0,reg,FALSE,DOGEUSD,sell,0," $81,104.29 ",hold,0, $116.46 ,hold,578.0951233, $-   ,hold,1393.301009, $-   
987,2021-04-16T08:45:00Z,0.262348,0.258145,0.264598,0.254392,0,reg,FALSE,DOGEUSD,hold,0," $81,104.29 ",hold,0, $116.46 ,hold,578.0951233, $-   ,buy,1393.301009, $-   
988,2021-04-16T08:50:00Z,0.258145,0.259097,0.263364,0.25481,0,reg,FALSE,DOGEUSD,buy,314181.1513, $-   ,hold,0, $116.46 ,buy,578.0951233, $-   ,buy,1393.301009, $-   
989,2021-04-16T08:55:00Z,0.259097,0.261825,0.264124,0.257171,0,reg,FALSE,DOGEUSD,hold,314181.1513, $-   ,hold,0, $116.46 ,hold,578.0951233, $-   ,hold,1393.301009, $-   
990,2021-04-16T09:00:00Z,0.261825,0.259311,0.261825,0.254836,0,reg,FALSE,DOGEUSD,sell,0," $82,260.48 ",hold,0, $116.46 ,hold,578.0951233, $-   ,hold,1393.301009, $-   
