,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,pp1,pp2,pp3,pp4,bin,buy,hold,sell,,bin,buy,hold,sell,buy,hold,sell,,bin,buy,hold,sell,buy,hold,sell,buy,hold,sell,buy,hold,sell
909,4/18/2021 0:15,55606.745,60234.465,60615.3217,60072.555,0,reg,FALSE,BTCUSD,buy,-0.30772382,-0.456286003,-0.460736754,-0.471995994,1,1,,,,,,,,,,,,,,,,,,,,,,,,
910,4/18/2021 0:20,55766.74,60260.1,60471.705,59680.266,0,reg,FALSE,BTCUSD,hold,0.82627315,0.653182254,0.639053716,0.63347931,81,,81,,,,,,,,,,,,,,,,,,,,,,,
911,4/18/2021 0:25,55934.43,59819.745,60234.625,59495.81,0,reg,FALSE,BTCUSD,hold,0.863416684,0.021394675,-0.363909646,-0.577706897,64,,64,,,,,,,,,,,,,,,,,,,,,,,
912,4/18/2021 0:30,56131.47,59765.765,59923,59206.784,0,reg,FALSE,BTCUSD,sell,1.010975126,0.084993663,0.036633017,0.230712573,69,,,69,,,,,,,,,,,,,,,,,,,,,,
913,4/18/2021 0:35,55851.19,59672.935,60159.23,59124.07374,0,reg,FALSE,BTCUSD,hold,-1.445280576,-1.414803286,-0.863883043,-0.518697251,1,,1,,,,,,,,,,,,,,,,,,,,,,,
914,4/18/2021 0:40,55808.92,59722.545,60203.135,59159.32964,0,reg,FALSE,BTCUSD,hold,-0.218132872,0.706837077,1.222064848,1.201505984,27,,27,,,,,,,,,,,,,,,,,,,,,,,
915,4/18/2021 0:45,55751.425,59862.78,59992.515,59388.41429,0,reg,FALSE,BTCUSD,hold,-0.297006938,-0.045431462,-0.433306679,-0.953494,10,,10,,,,,,,,,,,,,,,,,,,,,,,
916,4/18/2021 0:50,55549.125,59851.225,59950.15,59418.12,0,reg,FALSE,BTCUSD,buy,-1.048844605,-0.433058497,-0.223273172,0.1209793,2,2,,,,,,,,,,,,,,,,,,,,,,,,
917,4/18/2021 0:55,55559.395,59689.9,59839.08174,59270.71112,0,reg,FALSE,BTCUSD,sell,0.053236001,0.634798428,0.615085588,0.482894645,54,,,54,,,,,,,,,,,,,,,,,,,,,,
918,4/18/2021 1:00,55312.76,59560.725,59908.025,59183.91709,0,reg,FALSE,BTCUSD,hold,-1.284168067,-0.770344744,-0.809362468,-0.820482081,1,,1,,,,,,,,,,,,,,,,,,,,,,,
919,4/18/2021 1:05,55163.84,59606.795,59939.67,59360.305,0,reg,FALSE,BTCUSD,hold,-0.77748322,0.291850471,0.611824443,0.81860366,27,,27,,,,,,,,,,,,,,,,,,,,,,,
920,4/18/2021 1:10,55106.405,59745.595,59861.455,59172.81,0,reg,FALSE,BTCUSD,hold,-0.300169826,0.274932515,-0.009744743,-0.358023851,22,,22,,,,,,,,,,,,,,,,,,,,,,,
921,4/18/2021 1:15,54931.555,59438.82,59572.215,58867.36263,0,reg,FALSE,BTCUSD,buy,-0.916718996,-0.355132321,-0.362917345,-0.203427419,1,1,,,,,,,,,,,,,,,,,,,,,,,,
922,4/18/2021 1:20,55414.48,59170.41,59650.17,58849.0198,0,reg,FALSE,BTCUSD,hold,2.509856632,1.973707563,1.341411775,0.981693574,81,,81,,,,,,,,,,,,,,,,,,,,,,,
923,4/18/2021 1:25,55499.605,59284.58,59684.75,59134.695,0,reg,FALSE,BTCUSD,sell,0.441732873,-1.191239284,-1.823009382,-1.822706584,55,,,55,,,,,,,,,,,,,,,,,,,,,,
924,4/18/2021 1:30,55433.605,59264.985,59762.28,59147.2679,0,reg,FALSE,BTCUSD,buy,-0.342896696,-0.451946632,0.425832568,1.295332964,9,9,,,,,,,,,,,,,,,,,,,,,,,,
925,4/18/2021 1:35,55499.355,59614.39,59946.985,59320.145,0,reg,FALSE,BTCUSD,sell,0.341193155,0.394035755,0.487285855,0.035397094,80,,,80,,,,,,,,,,,,,,,,,,,,,,
926,4/18/2021 1:40,55288.595,59795.99,59944.78039,59471.49142,0,reg,FALSE,BTCUSD,buy,-1.097855352,-0.828891939,-0.704406351,-0.68641471,1,1,,,,,,,,,,,,,,,,,,,,,,,,
927,4/18/2021 1:45,55388.17,59661.86,59920.575,59271.49142,0,reg,FALSE,BTCUSD,sell,0.517756771,0.930592584,1.013463086,0.989492796,81,,,81,,,,,,,,,,,,,,,,,,,,,,
928,4/18/2021 1:50,55333.78,59530.15,59709.57,59142.69156,0,reg,FALSE,BTCUSD,buy,-0.283087835,-0.461286492,-0.801722347,-1.045546808,1,1,,,,,,,,,,,,,,,,,,,,,,,,
929,4/18/2021 1:55,55395.93,59501.6,59533.295,59043.9,0,reg,FALSE,BTCUSD,hold,0.323113991,0.349172252,0.466824237,0.730682833,81,,81,,,,,,,,,,,,,,,,,,,,,,,
930,4/18/2021 2:00,55492.95,59164.935,59580.28,59040.3,0,reg,FALSE,BTCUSD,hold,0.503519095,0.10391334,-0.141269133,-0.350261781,67,,67,,,,,,,,,,,,,,,,,,,,,,,
931,4/18/2021 2:05,55637.765,59340.68,59704.965,59186.79,0,reg,FALSE,BTCUSD,sell,0.749611708,0.141749345,0.021793539,0.093924099,68,,,68,,,,,,,,,,,,,,,,,,,,,,
932,4/18/2021 2:10,55634.76,59480.81,59662.485,58956.89598,0,reg,FALSE,BTCUSD,buy,-0.015555742,-0.440736451,-0.335511818,-0.205807885,28,28,,,,,,,,,,,,,,,,,,,,,,,,
933,4/18/2021 2:15,55670.86,59077.31,59409.795,58443.4515,0,reg,FALSE,BTCUSD,hold,0.186754794,0.116530869,0.320985977,0.37814273,45,,45,,,,,,,,,,,,,,,,,,,,,,,
934,4/18/2021 2:20,55717.25,58821.94,59214.645,58469.00242,0,reg,FALSE,BTCUSD,sell,0.239787858,0.030547045,-0.049526683,-0.213415292,67,,,67,,,,,,,,,,,,,,,,,,,,,,
